,action_onnut,action_virtual,reward_onnut,reward_virtual,travel_time_onnut,travel_time_virtual,teleport_number
299,1,1,80,17,111.88344019628042,40.998911338816754,0
300,2,1,96,10,112.12762300346577,7.443515507012865,0
301,2,1,115,15,2565.0817139349974,7.889101868360871,0
302,2,1,72,10,2886.8853000252466,8.17873593658251,0
303,2,1,51,18,1698.5144421160355,47.54928016977481,0
304,2,1,56,18,1352.2057215192663,2.6965744803978438,0
305,2,1,68,19,1360.644028456214,2.6427287653518374,0
306,2,1,57,20,1462.4743506454054,11.339130623825904,0
307,1,3,79,12,2889.865013867871,56.39685999126336,0
308,1,1,65,18,2864.94397345081,26.008546106878097,0
309,1,1,68,17,2454.1775870967695,4.098528439946807,0
310,2,1,74,14,91.49544446763042,3.7611256275090748,0
311,2,1,73,13,81.16112308965869,51.1858296604487,0
312,2,1,71,15,40.45354462964942,2.924049658232991,0
313,2,1,99,21,54.45356721244905,9.439206823065105,0
314,2,1,82,15,60.24132765192189,10.118477308869599,0
315,2,1,76,14,325.61921712826415,55.72936885034581,0
316,1,3,59,17,286.5698476358449,1.752137857568485,0
317,1,1,83,19,60.716362356821364,1.628897237881629,0
318,1,1,94,13,1745.945382642817,15.20051983845658,0
319,2,1,113,12,1909.444830751346,63.724139719881535,0
320,2,1,111,25,126.68847715890941,2.7299701849615117,0
321,2,1,104,19,346.8893727475562,9.841653542708935,0
322,2,1,62,15,348.9489086982235,2.820143895859617,0
323,2,1,65,30,678.0334472761133,13.763943407359228,0
324,1,3,46,13,10.04641371064746,10.75757719320064,0
325,1,1,88,9,5.767466131854775,53.18404672720558,0
326,1,1,84,12,11.982391315805943,3.5534975235714095,0
327,2,1,93,14,16.312890281493512,49.71533668463796,0
328,2,1,112,8,63.30106094927701,3.1397198361005683,0
329,2,1,110,20,4.0723512812449085,27.56115174656408,0
330,2,1,112,14,33.63780456592763,10.323496116460179,0
331,2,1,107,11,56.71193612558931,52.21800454963565,0
332,1,3,60,20,4.560621461978872,2.5541986731675532,0
333,1,1,101,19,104.34915574360976,2.749835634256339,0
334,1,1,99,17,6.159214950445927,1692.210218464525,0
335,2,1,99,12,305.93575629245873,815.4157771702161,0
336,2,1,109,14,17.94111635548483,17.62626120278103,0
337,2,1,112,24,326.93846102784113,6.024814294086515,0
338,2,1,108,19,56.1051703079251,12.551099567831688,0
339,1,1,85,9,370.1590530094728,147.0436481689487,0
340,1,3,95,17,409.5343300894276,16.054362771957706,0
341,1,1,113,20,109.11702146542876,10.481462295858158,0
342,2,1,107,25,6.09382510917935,18.94274134434878,0
343,2,1,126,22,542.2820846877787,66.88996797460146,0
344,2,1,72,13,535.8947458216089,2.1261272586855933,0
345,2,1,119,19,542.6638324281736,3.145438941510227,0
346,2,1,41,12,1256.311906907541,36.87451171975063,0
347,2,1,43,10,1162.7849256002949,115.98445762388198,0
348,1,3,58,22,674.7928826024613,25.820732924778238,0
349,1,1,95,21,643.331536962259,27.011404886555013,0
350,1,1,98,9,628.8542932967707,1778.256028471269,0
351,2,1,113,9,665.3327844165028,93.11876193471167,0
352,2,1,118,10,688.509163443053,116.89664097723208,0
353,2,1,111,11,965.5840573412544,171.7893469090096,0
354,1,3,82,24,921.2309163988398,36.28705622755428,0
355,1,1,98,16,778.1884748658133,78.96058234020643,0
356,1,1,91,19,878.4522049102447,1732.6487424546053,0
357,2,1,109,19,2965.7605815908423,31.227107810289645,0
358,2,1,113,11,2387.4164219464656,100.80539418303987,0
359,2,1,55,12,2684.3150409924647,96.92486517071265,0
360,1,3,61,21,2770.220860609888,40.930732715780195,0
361,1,1,110,12,2741.4306581946275,27.433747975610945,0
362,1,1,88,6,2670.27804543589,2087.2271541714267,0
363,2,1,96,11,2745.1053655508545,64.5806441644339,0
364,2,1,104,12,2925.365268875842,39.171754870757596,0
365,2,1,78,14,3026.466809803733,21.98652708964064,0
366,1,1,57,12,3456.679918219013,23.36044628615153,0
367,1,1,59,8,2990.2300249393707,54.21884008759977,1
368,1,3,56,19,2660.7791693198274,57.40850451525765,0
369,2,1,63,19,2713.6358088369116,779.9927875405236,1
370,2,1,61,18,3008.7276738940345,99.78960619784905,0
371,2,1,66,16,2886.407216543914,10.286843443862681,0
372,1,1,62,12,2717.1734167874624,4.837941716709081,0
373,1,1,63,13,2949.7559579937315,1.8499177556613258,0
374,1,1,52,20,2675.99730822634,17.016024997869593,0
375,2,1,56,12,3138.4220507584673,179.9640461697298,0
376,2,1,68,13,2998.551387302138,0.6735982529236785,0
377,2,1,70,19,3032.1873857007076,4.383986266114442,0
378,1,3,49,20,3560.2303411304943,202.11168334702103,0
379,1,1,24,15,3515.296844634862,53.89434984995045,0
380,1,1,34,15,3579.469987519776,1058.902715421562,0
381,2,1,80,30,2867.5959621198103,1309.8382317591386,0
382,2,1,101,17,2457.6749848037794,711.8276838352283,0
383,2,1,81,15,2608.6668479602054,1473.6890273834797,0
