step_time,reward_onnut,reward_virtual,total_travel_time_onnut,total_travel_time_virtual
61170.0,90,26,1269.4016533004324,23.035131279744167
61185.0,63,28,1278.4808506897716,17.55760025581859
61200.0,47,10,977.9770426949866,77.50718526082018
61215.0,64,16,973.6928587785186,425.8613895000996
61230.0,76,19,64.24054950696355,1863.6143054007066
61245.0,78,11,2966.024482974113,2253.6220646274496
61260.0,60,14,3129.8371849739765,1599.2789586976621
61275.0,106,6,3068.805966733996,1632.198013938957
61290.0,94,14,3311.5837906072766,114.5917991306852
61305.0,87,14,3424.820615176523,37.91902853672722
61320.0,40,14,3198.81934491936,6.610551927391215
61335.0,56,15,3688.362668927609,19.474903529163075
61350.0,73,20,3672.486344189297,423.6836306524727
61365.0,52,14,4010.261273275898,46.66221100677021
61380.0,35,12,3689.472196433737,59.85561887525035
61395.0,60,17,4059.933580962366,46.86671212505957
61410.0,80,31,4031.473492393692,783.7704589683434
61425.0,87,21,3736.41244578666,130.91576601319878
61440.0,51,16,3699.010568698989,46.34597876339258
61455.0,63,16,3447.2434956357083,778.827694685007
61470.0,84,23,3429.8538186919013,108.98133797372594
61485.0,93,17,3583.876781871309,385.2354361404918
61500.0,64,16,3460.3231830458176,40.111516936357354
61515.0,71,8,1404.13238377128,1747.1922623890896
61530.0,83,14,3514.558341557597,2329.2601907398075
61545.0,73,20,3125.910839248082,43.47472062701367
61560.0,71,15,1383.0889084428309,30.75029099252098
61575.0,73,16,115.31067979851598,158.81517430134193
61590.0,72,17,24.11640086632598,413.12744003540615
61605.0,102,11,26.220957813462668,34.42012334280319
61620.0,65,11,38.40596472447668,1616.0594810204575
61635.0,76,18,196.13155511489202,161.55689222077368
61650.0,99,13,29.58053219271833,774.1710024037478
61665.0,108,24,49.797665285485124,87.50947312990355
61680.0,52,16,17.659848483626817,50.96953618400682
61695.0,68,16,37.90169955069838,43.673215048353164
61710.0,83,20,93.22813598884991,328.5980508001775
61725.0,95,19,1160.0435755297501,25.72824871938225
61740.0,55,16,1234.4910008560273,186.85238387118739
61755.0,71,19,2312.750956902608,33.744584170649524
61770.0,86,18,2373.793009712171,829.1134110112264
61785.0,99,19,1906.1801454930921,630.4795651974846
61800.0,52,13,1850.3207894523373,12.477373799385282
61815.0,53,18,113.07041617785222,15.262015943419927
61830.0,92,21,42.124389541055244,21.966940647091672
61845.0,85,8,32.0883983507495,360.43166962344475
61860.0,51,10,52.280613623163006,2098.3695769884353
61875.0,59,15,21.161736592059466,2371.6556006520573
61890.0,90,18,44.27118529530857,610.5722129158761
61905.0,80,13,8.466459315758716,91.43101793332883
61920.0,46,11,24.114177375448016,62.430897790096964
61935.0,81,21,10.159564647653001,908.1527552658624
61950.0,115,16,14.244055191884318,181.7979711033107
61965.0,83,15,14.503803531900568,34.87307051681682
61980.0,83,14,287.2007839043472,34.15784292659611
61995.0,85,14,98.75517286390588,21.122019364594905
62010.0,113,16,199.89792688388522,1801.5666393418308
62025.0,80,9,1430.1870115470072,2430.792443791872
62040.0,78,13,1643.5100036407075,769.0122367416086
62055.0,91,14,526.4919943642547,36.54404580738593
62070.0,88,20,766.99134215042,862.1603204360399
62085.0,79,16,995.4846338203854,35.12455631316051
62100.0,32,13,1269.9423373653221,276.8018600510897
